OGLE-BLG-ECL-000001  BLG617.07.79075   17:13:40.94 -30:04:17.2  NC  18.714    -   0.20903930 0.916 0.538 5000.15657
OGLE-BLG-ECL-000002  BLG617.11.65828   17:16:38.36 -29:54:33.6   C  17.244 19.210 0.21367127 0.440 0.386 5000.04525
OGLE-BLG-ECL-000003  BLG616.03.6996    17:16:51.98 -29:04:29.1  NC  19.057    -   0.21434213 0.840 0.625 5000.14498
OGLE-BLG-ECL-000004  BLG616.10.93602   17:17:13.44 -28:38:07.1  NC  17.708 20.025 0.21488204 0.970 0.771 5000.03817
OGLE-BLG-ECL-000005  BLG617.19.15379   17:17:46.19 -29:32:42.2  NC  14.736    -   0.21549714 0.782 0.509 5000.18320
OGLE-BLG-ECL-000006  BLG616.26.30381   17:18:11.28 -27:58:02.9  NC  19.063    -   0.21877314 0.950 0.750 5000.10010
OGLE-BLG-ECL-000007  BLG616.01.26238   17:18:11.61 -28:59:37.3  NC  19.601 20.377 0.09176723 0.970 0.197 5000.03653
OGLE-BLG-ECL-000008  BLG615.11.36403   17:25:16.06 -30:05:26.2  NC  17.519 19.651 0.21770001 0.576 0.407 5000.16501
OGLE-BLG-ECL-000009  BLG612.25.57960   17:27:10.66 -27:43:57.5  NC  18.035    -   0.15077164 0.342 0.159 5000.00129
OGLE-BLG-ECL-000010  BLG613.07.75589   17:27:44.28 -29:46:16.1  NC  16.621 17.085 0.10051416 1.271 0.165 5000.01173
OGLE-BLG-ECL-000011  BLG662.21.5107    17:30:01.74 -30:24:29.8  NC  17.775 19.727 0.20005222 0.526 0.472 5000.03194
OGLE-BLG-ECL-000012  BLG613.18.38807   17:32:12.01 -29:05:16.4  NC  16.951 18.899 0.21894515 0.685 0.542 5000.11160
OGLE-BLG-ECL-000013  BLG654.14.22809   17:34:24.48 -29:51:38.8  NC  15.535 17.451 0.21386391 0.314 0.240 5000.13478
OGLE-BLG-ECL-000014  BLG621.29.94695   17:34:59.40 -21:45:07.2  NC  19.471    -   0.20875910 0.607 0.491 5000.04820
OGLE-BLG-ECL-000015  BLG654.05.20766   17:35:09.37 -30:12:44.8   C  18.173 20.495 0.20539043 0.877 0.860 5000.18653
OGLE-BLG-ECL-000016  BLG672.01.10260   17:35:24.66 -37:08:57.7   C  18.716 21.542 0.21272893 0.497 0.497 5000.21131
OGLE-BLG-ECL-000017  BLG680.25.40021   17:35:43.65 -37:09:58.4   C  19.327 21.625 0.21383009 0.728 0.609 5000.11979
OGLE-BLG-ECL-000018  BLG611.11.102686  17:36:09.08 -27:25:30.7  NC  18.338 21.161 0.17470363 0.132 0.091 5000.08124
OGLE-BLG-ECL-000019  BLG609.25.65430   17:36:30.19 -34:38:12.7  NC  19.427    -   0.16552070 0.371 0.369 5000.13526
OGLE-BLG-ECL-000020  BLG653.19.19121   17:37:14.38 -28:22:01.4  NC  18.228 21.775 0.14994447 0.461 0.362 5000.09106
OGLE-BLG-ECL-000021  BLG680.14.44506   17:37:22.60 -37:18:11.0  NC  19.360 21.754 0.21838043 0.987 0.774 5000.19109
OGLE-BLG-ECL-000022  BLG680.06.29442   17:37:49.48 -37:35:02.1   C  19.106 21.866 0.21921610 0.721 0.581 5000.02834
OGLE-BLG-ECL-000023  BLG611.09.16725   17:37:53.06 -27:17:40.9  NC  18.285 21.116 0.20038455 0.285 0.225 5000.02746
OGLE-BLG-ECL-000024  BLG609.06.71216   17:38:08.53 -35:13:25.4  NC  18.657 20.956 0.21938176 0.304 0.269 5000.07937
OGLE-BLG-ECL-000025  BLG611.17.72634   17:38:11.82 -27:06:05.2  NC  18.787 22.181 0.17295506 0.233 0.155 5000.16047
OGLE-BLG-ECL-000026  BLG625.15.81252   17:38:14.61 -22:56:53.7   C  18.893 21.104 0.21928025 0.313 0.299 5000.16745
OGLE-BLG-ECL-000027  BLG624.23.56697   17:39:02.10 -21:19:19.6  NC  18.378 21.117 0.17040292 0.207 0.194 5000.04398
